"id","text","link"
192,"Делаем адекватный адрес для страницы","http://study-and-dev.com/blog/java_cpu_1/"
418,"[code:]bat[:code]
@echo off

:begin
set /p id=""Enter: ""

echo yours input: %id%

set /p exitVar=""Enter 1 for exit: ""

if %exitVar%==1 (
	exit
) else (
	Goto begin
)

[/code]",""
224,"","http://webix.com/"
17,"[code:]java[:code]
    //*********************************MSSQL************************************
        dbUrl1 = """";
            user = """";
            password="""";
            
        // Загружаем драйвер (регистрируем себя)
        myConnectionMSSQL =DriverManager.getConnection(""jdbc:sqlserver://""+dbUrl1+"";User=""+user+"";Password = ""+password);
        //**********************************************************************
        
        
        //*********************************Teradata*****************************
        user = """";
            password="""";
            Class.forName(""com.teradata.jdbc.TeraDriver"");
            String connurl=""jdbc:teradata://Teradata/tmode=ANSI,charset=UTF8"";
            myConnectionTeradata=DriverManager.getConnection(connurl, user, password);
        //**********************************************************************
            
            
        //*********************************Oracle*****************************
            user = ""_da"";
            password="""";
            Class.forName(""oracle.jdbc.driver.OracleDriver"");
            String connurl1=""jdbc:oracle:thin:@ora-prod.corp.tander.ru:1521:dbwhs"";
            myConnectionTeradata=DriverManager.getConnection(connurl1, user, password);
        //**********************************************************************
[/code]",""
6,"[code:]java[:code]
import java.io.File;
import java.io.FileNotFoundException;
import java.io.FileOutputStream;
import java.io.IOException;
import java.nio.channels.FileLock;
import java.util.logging.Level;
import java.util.logging.Logger;
import javax.swing.JOptionPane;

/**
 * Контроль открытия одного экземпляра приложения
 * <p>
 * @author ezhov_da
 */
public class ControleOneCopyApplication
{
    private static final Logger LOG = Logger.getLogger(ControleOneCopyApplication.class.getName());

    public static void check(File file) throws FileNotFoundException
    {
        LOG.info(""Проверка открытого экземпляра приложения "");
        if (!lock(file))
        {
            LOG.log(Level.INFO, ""Приложение уже открыто"");
            JOptionPane.showMessageDialog(null, ""Экземпляр приложения уже запущен."", ""Внимание"", JOptionPane.INFORMATION_MESSAGE);
            System.exit(1);
        }
    }

    private static boolean lock(File lockFile) throws FileNotFoundException
    {
        if (lockFile == null)
        {
            throw new IllegalArgumentException(""path don't be null."");
        }
        try
        {
            final FileLock lock = new FileOutputStream(lockFile).getChannel().tryLock();
            if (lock != null)
            {
                Thread thread = new Thread(new Runnable()
                {
                    @Override
                    public void run()
                    {
                        while (true)
                        {
                            try
                            {
                                if (lock.isValid())
                                {
                                    Thread.sleep(Long.MAX_VALUE);
                                }
                            } catch (InterruptedException ex)
                            {
                            }
                        }
                    }
                });
                thread.setDaemon(true);
                thread.start();
            }
            LOG.log(Level.INFO, ""Проверка открытого экземпляра приложения: {0}"", (lock != null));
            return lock != null;
        } catch (IOException ex)
        {
            LOG.log(Level.SEVERE, ""Ошибка проверки наличия открытого экземпляра класса "", ex);
        }
        return true;
    }


}

[/code]",""
253,"tar -xvzf archive.tar.gz","http://pingvinus.ru/answers/844"
14,"","https://tomcat.apache.org/tomcat-6.0-doc/jndi-datasource-examples-howto.html"
254,"chmod +x hello.sh","http://www.linuxrussia.com/2013/07/sh-ubuntu.html"
8,"Вместо просмотра назад: (?<=@+)cat#+<br>
Можно использовать символ: \K<br>
который говорит о том, какую часть следует откинуть после нахождения<br>
Итог: @+\Kcat#+<br>
В java не работает :(",""
223,"http://redis.io/topics/quickstart","https://www.tutorialspoint.com/redis/redis_java.htm"
